req_id,owning_spec,title,normative_statement,source_file,source_line,status
REQ-OPS-003,41,Cost attribution,每个主要成本面都必须有可观测指标与月度归因面板。,spec/framework/41-observability-performance-and-cost.md,26,active
REQ-OPS-004,41,Truth-path visibility,`UserDO`、`RoomDO`、`RemoteServerDO` 的核心提交路径必须有独立指标。,spec/framework/41-observability-performance-and-cost.md,27,active
REQ-OPS-005,41,Derived-lag visibility,D1/Queue/R2 派生滞后必须可测。,spec/framework/41-observability-performance-and-cost.md,28,active
REQ-OPS-010,42,Versioned deployments,生产发布必须使用 Worker versions/deployments 模型。,spec/framework/42-deployment-migration-and-recovery.md,24,active
REQ-OPS-011,42,Compatibility before rollout,任何破坏性行为切换前必须先发布兼容代码。,spec/framework/42-deployment-migration-and-recovery.md,25,active
REQ-OPS-012,42,Migrations isolated,DO migration 必须与普通代码发布解耦。,spec/framework/42-deployment-migration-and-recovery.md,26,active
REQ-OPS-013,42,Recovery path before cleanup,删除旧 schema、旧索引、旧对象前必须确认已有恢复入口。,spec/framework/42-deployment-migration-and-recovery.md,27,active
REQ-SEC-001,40,Token truth,access token 与 refresh token 的有效性只以 `UserDO` 真相为准。,spec/framework/40-security-and-abuse-resistance.md,24,active
REQ-SEC-002,40,Secret storage,所有敏感密钥、bearer token 本体与可离线重放的凭据都必须存放于 Workers secrets 或 Secrets Store；不适用于仅以 hash 形式存于 `UserDO` 真相中的 access/refresh token。,spec/framework/40-security-and-abuse-resistance.md,25,active
REQ-SEC-003,40,No plaintext secrets,严禁把敏感信息存入 Wrangler `vars`、D1、KV、Git 或日志。,spec/framework/40-security-and-abuse-resistance.md,26,active
REQ-SEC-004,40,Room authorization,房间级授权最终只由 `RoomDO` + room version auth rules 裁决。,spec/framework/40-security-and-abuse-resistance.md,27,active
REQ-SEC-005,40,Federation auth,除显式登记为 deterministic disabled stub 的联邦路由外，联邦请求只以 `X-Matrix` 签名和 Matrix 规则验证，不以 IP allowlist 替代。,spec/framework/40-security-and-abuse-resistance.md,28,active
REQ-SEC-006,40,Abuse controls,注册、登录、媒体、房间发送、联邦入口、搜索等都必须具备限流或配额控制。,spec/framework/40-security-and-abuse-resistance.md,29,active
REQ-SEC-007,40,Auditability,所有高权限操作都必须有审计记录与因果链。,spec/framework/40-security-and-abuse-resistance.md,30,active
REQ-SEC-008,40,Single-tenant isolation,首版隔离边界是“每个 homeserver 域名独立部署单元”。,spec/framework/40-security-and-abuse-resistance.md,31,active
